pull_date,pull_time,location,update_time,pct_full,date,time,wday
1/9/23,15:50,Nick Power House,Updated 41 minutes ago,23.57,1/9/23,15:09,Monday
1/9/23,15:50,Nick Track,Updated 41 minutes ago,5,1/9/23,15:09,Monday
1/9/23,15:50,Soderholm Family Aquatic Center,Updated 41 minutes ago,4.78,1/9/23,15:09,Monday
1/9/23,15:51,Nick Level 1 Fitness,Updated 42 minutes ago,13.33,1/9/23,15:09,Monday
1/9/23,15:51,Nick Level 2 Fitness,Updated 42 minutes ago,23,1/9/23,15:09,Monday
1/9/23,15:51,Nick Level 3 Fitness,Updated 42 minutes ago,17.5,1/9/23,15:09,Monday
1/9/23,15:51,Nick Power House,Updated 42 minutes ago,23.57,1/9/23,15:09,Monday
1/9/23,15:51,Nick Track,Updated 42 minutes ago,5,1/9/23,15:09,Monday
1/9/23,15:51,Soderholm Family Aquatic Center,Updated 42 minutes ago,4.78,1/9/23,15:09,Monday
1/9/23,16:00,Nick Level 1 Fitness,Updated 50 minutes ago,13.33,1/9/23,15:10,Monday
1/9/23,16:00,Nick Level 2 Fitness,Updated 50 minutes ago,23,1/9/23,15:10,Monday
1/9/23,16:00,Nick Level 3 Fitness,Updated 50 minutes ago,17.5,1/9/23,15:10,Monday
1/9/23,16:00,Nick Power House,Updated 50 minutes ago,23.57,1/9/23,15:10,Monday
1/9/23,16:00,Nick Track,Updated 50 minutes ago,5,1/9/23,15:10,Monday
1/9/23,16:00,Soderholm Family Aquatic Center,Updated 50 minutes ago,4.78,1/9/23,15:10,Monday
1/9/23,16:10,Nick Level 1 Fitness,Updated an hour ago,13.33,1/9/23,15:10,Monday
1/9/23,16:10,Nick Level 2 Fitness,Updated an hour ago,23,1/9/23,15:10,Monday
1/9/23,16:10,Nick Level 3 Fitness,Updated an hour ago,17.5,1/9/23,15:10,Monday
1/9/23,16:10,Nick Power House,Updated an hour ago,23.57,1/9/23,15:10,Monday
1/9/23,16:10,Nick Track,Updated an hour ago,5,1/9/23,15:10,Monday
1/9/23,16:10,Soderholm Family Aquatic Center,Updated an hour ago,4.78,1/9/23,15:10,Monday
1/9/23,16:20,Nick Level 1 Fitness,Updated an hour ago,13.33,1/9/23,15:20,Monday
1/9/23,16:20,Nick Level 2 Fitness,Updated an hour ago,23,1/9/23,15:20,Monday
1/9/23,16:20,Nick Level 3 Fitness,Updated an hour ago,17.5,1/9/23,15:20,Monday
1/9/23,16:20,Nick Power House,Updated an hour ago,23.57,1/9/23,15:20,Monday
1/9/23,16:20,Nick Track,Updated an hour ago,5,1/9/23,15:20,Monday
1/9/23,16:20,Soderholm Family Aquatic Center,Updated an hour ago,4.78,1/9/23,15:20,Monday
1/9/23,16:30,Nick Level 1 Fitness,Updated moments ago,14.67,1/9/23,16:30,Monday
1/9/23,16:30,Nick Level 2 Fitness,Updated moments ago,26,1/9/23,16:30,Monday
1/9/23,16:30,Nick Level 3 Fitness,Updated moments ago,18.5,1/9/23,16:30,Monday
1/9/23,16:30,Nick Power House,Updated moments ago,25.71,1/9/23,16:30,Monday
1/9/23,16:30,Nick Track,Updated moments ago,7,1/9/23,16:30,Monday
1/9/23,16:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/9/23,16:40,Nick Level 1 Fitness,Updated 10 minutes ago,14.67,1/9/23,16:30,Monday
1/9/23,16:40,Nick Level 2 Fitness,Updated 10 minutes ago,26,1/9/23,16:30,Monday
1/9/23,16:40,Nick Level 3 Fitness,Updated 10 minutes ago,18.5,1/9/23,16:30,Monday
1/9/23,16:40,Nick Power House,Updated 10 minutes ago,25.71,1/9/23,16:30,Monday
1/9/23,16:40,Nick Track,Updated 10 minutes ago,7,1/9/23,16:30,Monday
1/9/23,16:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/9/23,16:50,Nick Level 1 Fitness,Updated 20 minutes ago,14.67,1/9/23,16:30,Monday
1/9/23,16:50,Nick Level 2 Fitness,Updated 20 minutes ago,26,1/9/23,16:30,Monday
1/9/23,16:50,Nick Level 3 Fitness,Updated 20 minutes ago,18.5,1/9/23,16:30,Monday
1/9/23,16:50,Nick Power House,Updated 20 minutes ago,25.71,1/9/23,16:30,Monday
1/9/23,16:50,Nick Track,Updated 20 minutes ago,7,1/9/23,16:30,Monday
1/9/23,16:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/9/23,21:23,Nick Level 1 Fitness,Updated over an hour ago,20,n/a,n/a,n/a
1/9/23,21:23,Nick Level 2 Fitness,Updated over an hour ago,28,n/a,n/a,n/a
1/9/23,21:23,Nick Level 3 Fitness,Updated over an hour ago,37,n/a,n/a,n/a
1/9/23,21:23,Nick Power House,Updated over an hour ago,37.86,n/a,n/a,n/a
1/9/23,21:23,Nick Track,Updated over an hour ago,11,n/a,n/a,n/a
1/9/23,21:23,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,7:30,Nick Level 1 Fitness,Updated 53 minutes ago,1.33,1/10/23,6:37,Tuesday
1/10/23,7:30,Nick Level 2 Fitness,Updated 53 minutes ago,5,1/10/23,6:37,Tuesday
1/10/23,7:30,Nick Level 3 Fitness,Updated 53 minutes ago,10,1/10/23,6:37,Tuesday
1/10/23,7:30,Nick Power House,Updated 53 minutes ago,7.86,1/10/23,6:37,Tuesday
1/10/23,7:30,Nick Track,Updated 53 minutes ago,3,1/10/23,6:37,Tuesday
1/10/23,7:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,7:40,Nick Level 1 Fitness,Updated 7 minutes ago,3.33,1/10/23,7:33,Tuesday
1/10/23,7:40,Nick Level 2 Fitness,Updated 7 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,7:40,Nick Level 3 Fitness,Updated 7 minutes ago,8.5,1/10/23,7:33,Tuesday
1/10/23,7:40,Nick Power House,Updated 7 minutes ago,9.29,1/10/23,7:33,Tuesday
1/10/23,7:40,Nick Track,Updated 7 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,7:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,7:50,Nick Level 1 Fitness,Updated 17 minutes ago,3.33,1/10/23,7:33,Tuesday
1/10/23,7:50,Nick Level 2 Fitness,Updated 17 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,7:50,Nick Level 3 Fitness,Updated 17 minutes ago,8.5,1/10/23,7:33,Tuesday
1/10/23,7:50,Nick Power House,Updated 17 minutes ago,9.29,1/10/23,7:33,Tuesday
1/10/23,7:50,Nick Track,Updated 17 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,7:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:00,Nick Level 1 Fitness,Updated 27 minutes ago,3.33,1/10/23,7:33,Tuesday
1/10/23,8:00,Nick Level 2 Fitness,Updated 27 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:00,Nick Level 3 Fitness,Updated 27 minutes ago,8.5,1/10/23,7:33,Tuesday
1/10/23,8:00,Nick Power House,Updated 27 minutes ago,9.29,1/10/23,7:33,Tuesday
1/10/23,8:00,Nick Track,Updated 27 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:13,Nick Level 1 Fitness,Updated 40 minutes ago,3.33,1/10/23,7:33,Tuesday
1/10/23,8:13,Nick Level 2 Fitness,Updated 40 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:13,Nick Level 3 Fitness,Updated 40 minutes ago,8.5,1/10/23,7:33,Tuesday
1/10/23,8:13,Nick Power House,Updated 40 minutes ago,9.29,1/10/23,7:33,Tuesday
1/10/23,8:13,Nick Track,Updated 40 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:13,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:20,Nick Level 1 Fitness,Updated 47 minutes ago,3.33,1/10/23,7:33,Tuesday
1/10/23,8:20,Nick Level 2 Fitness,Updated 47 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:20,Nick Level 3 Fitness,Updated 47 minutes ago,8.5,1/10/23,7:33,Tuesday
1/10/23,8:20,Nick Power House,Updated 47 minutes ago,9.29,1/10/23,7:33,Tuesday
1/10/23,8:20,Nick Track,Updated 47 minutes ago,2,1/10/23,7:33,Tuesday
1/10/23,8:20,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:30,Nick Level 1 Fitness,Updated moments ago,3.33,1/10/23,8:30,Tuesday
1/10/23,8:30,Nick Level 2 Fitness,Updated moments ago,4,1/10/23,8:30,Tuesday
1/10/23,8:30,Nick Level 3 Fitness,Updated moments ago,4.5,1/10/23,8:30,Tuesday
1/10/23,8:30,Nick Power House,Updated moments ago,5.71,1/10/23,8:30,Tuesday
1/10/23,8:30,Nick Track,Updated moments ago,3,1/10/23,8:30,Tuesday
1/10/23,8:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:40,Nick Level 1 Fitness,Updated 10 minutes ago,3.33,1/10/23,8:30,Tuesday
1/10/23,8:40,Nick Level 2 Fitness,Updated 10 minutes ago,4,1/10/23,8:30,Tuesday
1/10/23,8:40,Nick Level 3 Fitness,Updated 10 minutes ago,4.5,1/10/23,8:30,Tuesday
1/10/23,8:40,Nick Power House,Updated 10 minutes ago,5.71,1/10/23,8:30,Tuesday
1/10/23,8:40,Nick Track,Updated 10 minutes ago,3,1/10/23,8:30,Tuesday
1/10/23,8:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,8:50,Nick Level 1 Fitness,Updated 20 minutes ago,3.33,1/10/23,8:30,Tuesday
1/10/23,8:50,Nick Level 2 Fitness,Updated 20 minutes ago,4,1/10/23,8:30,Tuesday
1/10/23,8:50,Nick Level 3 Fitness,Updated 20 minutes ago,4.5,1/10/23,8:30,Tuesday
1/10/23,8:50,Nick Power House,Updated 20 minutes ago,5.71,1/10/23,8:30,Tuesday
1/10/23,8:50,Nick Track,Updated 20 minutes ago,3,1/10/23,8:30,Tuesday
1/10/23,8:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,9:00,Nick Level 1 Fitness,Updated 30 minutes ago,3.33,1/10/23,8:30,Tuesday
1/10/23,9:00,Nick Level 2 Fitness,Updated 30 minutes ago,4,1/10/23,8:30,Tuesday
1/10/23,9:00,Nick Level 3 Fitness,Updated 30 minutes ago,4.5,1/10/23,8:30,Tuesday
1/10/23,9:00,Nick Power House,Updated 30 minutes ago,5.71,1/10/23,8:30,Tuesday
1/10/23,9:00,Nick Track,Updated 30 minutes ago,3,1/10/23,8:30,Tuesday
1/10/23,9:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,9:30,Nick Level 1 Fitness,Updated an hour ago,3.33,1/10/23,8:30,Tuesday
1/10/23,9:30,Nick Level 2 Fitness,Updated an hour ago,4,1/10/23,8:30,Tuesday
1/10/23,9:30,Nick Level 3 Fitness,Updated an hour ago,4.5,1/10/23,8:30,Tuesday
1/10/23,9:30,Nick Power House,Updated an hour ago,5.71,1/10/23,8:30,Tuesday
1/10/23,9:30,Nick Track,Updated an hour ago,3,1/10/23,8:30,Tuesday
1/10/23,9:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,9:40,Nick Level 1 Fitness,Updated moments ago,4,1/10/23,9:40,Tuesday
1/10/23,9:40,Nick Level 2 Fitness,Updated moments ago,7,1/10/23,9:40,Tuesday
1/10/23,9:40,Nick Level 3 Fitness,Updated moments ago,5.5,1/10/23,9:40,Tuesday
1/10/23,9:40,Nick Power House,Updated moments ago,7.14,1/10/23,9:40,Tuesday
1/10/23,9:40,Nick Track,Updated moments ago,2,1/10/23,9:40,Tuesday
1/10/23,9:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,9:50,Nick Level 1 Fitness,Updated 10 minutes ago,4,1/10/23,9:40,Tuesday
1/10/23,9:50,Nick Level 2 Fitness,Updated 10 minutes ago,7,1/10/23,9:40,Tuesday
1/10/23,9:50,Nick Level 3 Fitness,Updated 10 minutes ago,5.5,1/10/23,9:40,Tuesday
1/10/23,9:50,Nick Power House,Updated 10 minutes ago,7.14,1/10/23,9:40,Tuesday
1/10/23,9:50,Nick Track,Updated 10 minutes ago,2,1/10/23,9:40,Tuesday
1/10/23,9:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:00,Nick Level 1 Fitness,Updated 20 minutes ago,4,1/10/23,9:40,Tuesday
1/10/23,10:00,Nick Level 2 Fitness,Updated 20 minutes ago,7,1/10/23,9:40,Tuesday
1/10/23,10:00,Nick Level 3 Fitness,Updated 20 minutes ago,5.5,1/10/23,9:40,Tuesday
1/10/23,10:00,Nick Power House,Updated 20 minutes ago,7.14,1/10/23,9:40,Tuesday
1/10/23,10:00,Nick Track,Updated 20 minutes ago,2,1/10/23,9:40,Tuesday
1/10/23,10:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:10,Nick Level 1 Fitness,Updated 30 minutes ago,4,1/10/23,9:40,Tuesday
1/10/23,10:10,Nick Level 2 Fitness,Updated 30 minutes ago,7,1/10/23,9:40,Tuesday
1/10/23,10:10,Nick Level 3 Fitness,Updated 30 minutes ago,5.5,1/10/23,9:40,Tuesday
1/10/23,10:10,Nick Power House,Updated 30 minutes ago,7.14,1/10/23,9:40,Tuesday
1/10/23,10:10,Nick Track,Updated 30 minutes ago,2,1/10/23,9:40,Tuesday
1/10/23,10:10,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:20,Nick Level 1 Fitness,Updated 40 minutes ago,4,1/10/23,9:40,Tuesday
1/10/23,10:20,Nick Level 2 Fitness,Updated 40 minutes ago,7,1/10/23,9:40,Tuesday
1/10/23,10:20,Nick Level 3 Fitness,Updated 40 minutes ago,5.5,1/10/23,9:40,Tuesday
1/10/23,10:20,Nick Power House,Updated 40 minutes ago,7.14,1/10/23,9:40,Tuesday
1/10/23,10:20,Nick Track,Updated 40 minutes ago,2,1/10/23,9:40,Tuesday
1/10/23,10:20,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:30,Nick Level 1 Fitness,Updated 50 minutes ago,4,1/10/23,9:40,Tuesday
1/10/23,10:30,Nick Level 2 Fitness,Updated 50 minutes ago,7,1/10/23,9:40,Tuesday
1/10/23,10:30,Nick Level 3 Fitness,Updated 50 minutes ago,5.5,1/10/23,9:40,Tuesday
1/10/23,10:30,Nick Power House,Updated 50 minutes ago,7.14,1/10/23,9:40,Tuesday
1/10/23,10:30,Nick Track,Updated 50 minutes ago,2,1/10/23,9:40,Tuesday
1/10/23,10:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:40,Nick Level 1 Fitness,Updated an hour ago,4,1/10/23,9:40,Tuesday
1/10/23,10:40,Nick Level 2 Fitness,Updated an hour ago,7,1/10/23,9:40,Tuesday
1/10/23,10:40,Nick Level 3 Fitness,Updated an hour ago,5.5,1/10/23,9:40,Tuesday
1/10/23,10:40,Nick Power House,Updated an hour ago,7.14,1/10/23,9:40,Tuesday
1/10/23,10:40,Nick Track,Updated an hour ago,2,1/10/23,9:40,Tuesday
1/10/23,10:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,10:50,Nick Level 1 Fitness,Updated 3 minutes ago,8,1/10/23,10:47,Tuesday
1/10/23,10:50,Nick Level 2 Fitness,Updated 3 minutes ago,5,1/10/23,10:47,Tuesday
1/10/23,10:50,Nick Level 3 Fitness,Updated 3 minutes ago,12.5,1/10/23,10:47,Tuesday
1/10/23,10:50,Nick Power House,Updated 3 minutes ago,7.14,1/10/23,10:47,Tuesday
1/10/23,10:50,Nick Track,Updated an hour ago,2,1/10/23,9:50,Tuesday
1/10/23,10:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,11:00,Nick Level 1 Fitness,Updated 13 minutes ago,8,1/10/23,10:47,Tuesday
1/10/23,11:00,Nick Level 2 Fitness,Updated 13 minutes ago,5,1/10/23,10:47,Tuesday
1/10/23,11:00,Nick Level 3 Fitness,Updated 13 minutes ago,12.5,1/10/23,10:47,Tuesday
1/10/23,11:00,Nick Power House,Updated 13 minutes ago,7.14,1/10/23,10:47,Tuesday
1/10/23,11:00,Nick Track,Updated an hour ago,2,1/10/23,10:00,Tuesday
1/10/23,11:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,11:10,Nick Level 1 Fitness,Updated 23 minutes ago,8,1/10/23,10:47,Tuesday
1/10/23,11:10,Nick Level 2 Fitness,Updated 23 minutes ago,5,1/10/23,10:47,Tuesday
1/10/23,11:10,Nick Level 3 Fitness,Updated 23 minutes ago,12.5,1/10/23,10:47,Tuesday
1/10/23,11:10,Nick Power House,Updated 23 minutes ago,7.14,1/10/23,10:47,Tuesday
1/10/23,11:10,Nick Track,Updated over an hour ago,2,n/a,n/a,n/a
1/10/23,11:10,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,12:20,Nick Level 1 Fitness,Updated 36 minutes ago,9.33,1/10/23,11:44,Tuesday
1/10/23,12:20,Nick Level 2 Fitness,Updated 36 minutes ago,12,1/10/23,11:44,Tuesday
1/10/23,12:20,Nick Level 3 Fitness,Updated 36 minutes ago,10,1/10/23,11:44,Tuesday
1/10/23,12:20,Nick Power House,Updated 36 minutes ago,15,1/10/23,11:44,Tuesday
1/10/23,12:20,Nick Track,Updated 36 minutes ago,4,1/10/23,11:44,Tuesday
1/10/23,12:20,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,12:30,Nick Level 1 Fitness,Updated 46 minutes ago,9.33,1/10/23,11:44,Tuesday
1/10/23,12:30,Nick Level 2 Fitness,Updated 46 minutes ago,12,1/10/23,11:44,Tuesday
1/10/23,12:30,Nick Level 3 Fitness,Updated 46 minutes ago,10,1/10/23,11:44,Tuesday
1/10/23,12:30,Nick Power House,Updated 46 minutes ago,15,1/10/23,11:44,Tuesday
1/10/23,12:30,Nick Track,Updated 46 minutes ago,4,1/10/23,11:44,Tuesday
1/10/23,12:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,12:40,Nick Level 1 Fitness,Updated 56 minutes ago,9.33,1/10/23,11:44,Tuesday
1/10/23,12:40,Nick Level 2 Fitness,Updated 56 minutes ago,12,1/10/23,11:44,Tuesday
1/10/23,12:40,Nick Level 3 Fitness,Updated 56 minutes ago,10,1/10/23,11:44,Tuesday
1/10/23,12:40,Nick Power House,Updated 56 minutes ago,15,1/10/23,11:44,Tuesday
1/10/23,12:40,Nick Track,Updated 56 minutes ago,4,1/10/23,11:44,Tuesday
1/10/23,12:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,12:50,Nick Level 1 Fitness,Updated an hour ago,9.33,1/10/23,11:50,Tuesday
1/10/23,12:50,Nick Level 2 Fitness,Updated an hour ago,12,1/10/23,11:50,Tuesday
1/10/23,12:50,Nick Level 3 Fitness,Updated an hour ago,10,1/10/23,11:50,Tuesday
1/10/23,12:50,Nick Power House,Updated an hour ago,15,1/10/23,11:50,Tuesday
1/10/23,12:50,Nick Track,Updated an hour ago,4,1/10/23,11:50,Tuesday
1/10/23,12:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:00,Nick Level 1 Fitness,Updated an hour ago,9.33,1/10/23,12:00,Tuesday
1/10/23,13:00,Nick Level 2 Fitness,Updated an hour ago,12,1/10/23,12:00,Tuesday
1/10/23,13:00,Nick Level 3 Fitness,Updated an hour ago,10,1/10/23,12:00,Tuesday
1/10/23,13:00,Nick Power House,Updated an hour ago,15,1/10/23,12:00,Tuesday
1/10/23,13:00,Nick Track,Updated an hour ago,4,1/10/23,12:00,Tuesday
1/10/23,13:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:10,Nick Level 1 Fitness,Updated an hour ago,9.33,1/10/23,12:10,Tuesday
1/10/23,13:10,Nick Level 2 Fitness,Updated an hour ago,12,1/10/23,12:10,Tuesday
1/10/23,13:10,Nick Level 3 Fitness,Updated an hour ago,10,1/10/23,12:10,Tuesday
1/10/23,13:10,Nick Power House,Updated an hour ago,15,1/10/23,12:10,Tuesday
1/10/23,13:10,Nick Track,Updated an hour ago,4,1/10/23,12:10,Tuesday
1/10/23,13:10,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:20,Nick Level 1 Fitness,Updated over an hour ago,9.33,n/a,n/a,n/a
1/10/23,13:20,Nick Level 2 Fitness,Updated over an hour ago,12,n/a,n/a,n/a
1/10/23,13:20,Nick Level 3 Fitness,Updated over an hour ago,10,n/a,n/a,n/a
1/10/23,13:20,Nick Power House,Updated over an hour ago,15,n/a,n/a,n/a
1/10/23,13:20,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/10/23,13:20,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:30,Nick Level 1 Fitness,Updated over an hour ago,9.33,n/a,n/a,n/a
1/10/23,13:30,Nick Level 2 Fitness,Updated over an hour ago,12,n/a,n/a,n/a
1/10/23,13:30,Nick Level 3 Fitness,Updated over an hour ago,10,n/a,n/a,n/a
1/10/23,13:30,Nick Power House,Updated over an hour ago,15,n/a,n/a,n/a
1/10/23,13:30,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/10/23,13:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:40,Nick Level 1 Fitness,Updated 9 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,13:40,Nick Level 2 Fitness,Updated 9 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,13:40,Nick Level 3 Fitness,Updated 9 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,13:40,Nick Power House,Updated 9 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,13:40,Nick Track,Updated 9 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,13:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,13:50,Nick Level 1 Fitness,Updated 19 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,13:50,Nick Level 2 Fitness,Updated 19 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,13:50,Nick Level 3 Fitness,Updated 19 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,13:50,Nick Power House,Updated 19 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,13:50,Nick Track,Updated 19 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,13:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,14:00,Nick Level 1 Fitness,Updated 29 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:00,Nick Level 2 Fitness,Updated 29 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:00,Nick Level 3 Fitness,Updated 29 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,14:00,Nick Power House,Updated 29 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,14:00,Nick Track,Updated 29 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,14:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,14:10,Nick Level 1 Fitness,Updated 39 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:10,Nick Level 2 Fitness,Updated 39 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:10,Nick Level 3 Fitness,Updated 39 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,14:10,Nick Power House,Updated 39 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,14:10,Nick Track,Updated 39 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,14:10,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,14:20,Nick Level 1 Fitness,Updated 49 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:20,Nick Level 2 Fitness,Updated 49 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:20,Nick Level 3 Fitness,Updated 49 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,14:20,Nick Power House,Updated 49 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,14:20,Nick Track,Updated 49 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,14:20,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,14:30,Nick Level 1 Fitness,Updated 59 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:30,Nick Level 2 Fitness,Updated 59 minutes ago,10,1/10/23,13:31,Tuesday
1/10/23,14:30,Nick Level 3 Fitness,Updated 59 minutes ago,11,1/10/23,13:31,Tuesday
1/10/23,14:30,Nick Power House,Updated 59 minutes ago,12.86,1/10/23,13:31,Tuesday
1/10/23,14:30,Nick Track,Updated 59 minutes ago,5,1/10/23,13:31,Tuesday
1/10/23,14:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,16:30,Nick Level 1 Fitness,Updated an hour ago,12.67,1/10/23,15:30,Tuesday
1/10/23,16:30,Nick Level 2 Fitness,Updated an hour ago,8,1/10/23,15:30,Tuesday
1/10/23,16:30,Nick Level 3 Fitness,Updated an hour ago,7.5,1/10/23,15:30,Tuesday
1/10/23,16:30,Nick Power House,Updated an hour ago,9.29,1/10/23,15:30,Tuesday
1/10/23,16:30,Nick Track,Updated an hour ago,4,1/10/23,15:30,Tuesday
1/10/23,16:30,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,16:40,Nick Level 1 Fitness,Updated 8 minutes ago,11.33,1/10/23,16:32,Tuesday
1/10/23,16:40,Nick Level 2 Fitness,Updated 8 minutes ago,18,1/10/23,16:32,Tuesday
1/10/23,16:40,Nick Level 3 Fitness,Updated 8 minutes ago,23,1/10/23,16:32,Tuesday
1/10/23,16:40,Nick Power House,Updated 8 minutes ago,20.71,1/10/23,16:32,Tuesday
1/10/23,16:40,Nick Track,Updated 8 minutes ago,7,1/10/23,16:32,Tuesday
1/10/23,16:40,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,16:50,Nick Level 1 Fitness,Updated 18 minutes ago,11.33,1/10/23,16:32,Tuesday
1/10/23,16:50,Nick Level 2 Fitness,Updated 18 minutes ago,18,1/10/23,16:32,Tuesday
1/10/23,16:50,Nick Level 3 Fitness,Updated 18 minutes ago,23,1/10/23,16:32,Tuesday
1/10/23,16:50,Nick Power House,Updated 18 minutes ago,20.71,1/10/23,16:32,Tuesday
1/10/23,16:50,Nick Track,Updated 18 minutes ago,7,1/10/23,16:32,Tuesday
1/10/23,16:50,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/10/23,17:10,Nick Level 1 Fitness,Updated 38 minutes ago,11.33,1/10/23,16:32,Tuesday
1/10/23,17:10,Nick Level 2 Fitness,Updated 38 minutes ago,18,1/10/23,16:32,Tuesday
1/10/23,17:10,Nick Level 3 Fitness,Updated 38 minutes ago,23,1/10/23,16:32,Tuesday
1/10/23,17:10,Nick Power House,Updated 38 minutes ago,20.71,1/10/23,16:32,Tuesday
1/10/23,17:10,Nick Track,Updated 38 minutes ago,7,1/10/23,16:32,Tuesday
