pull_date,pull_time,location,update_time,pct_full,date,time,wday
12/23/22,21:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,21:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,22:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,22:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,22:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,22:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,22:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,22:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,6:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,6:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,6:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,6:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,6:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,6:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,7:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,7:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,7:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,7:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,7:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,7:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,9:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,9:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,9:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,9:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,9:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,9:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,9:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,9:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,9:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,9:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,9:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,9:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,10:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,10:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,10:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,10:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,10:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,10:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,10:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,10:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,10:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,10:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,10:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,10:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,11:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,11:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,11:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,11:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,11:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,11:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,11:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,11:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,11:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,11:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,11:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,11:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,12:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,12:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,12:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,12:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,12:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,12:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,12:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,12:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,12:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,12:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,12:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,12:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,13:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,13:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,13:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,13:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,13:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,13:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,17:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,17:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,17:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,17:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,17:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,17:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,18:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,18:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,18:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,18:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,18:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,18:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,18:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,18:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,18:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,18:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,18:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,18:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/28/22,19:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/28/22,19:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/28/22,19:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/28/22,19:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/28/22,19:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/28/22,19:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,12:58,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,12:58,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,12:58,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,12:58,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/29/22,12:58,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,12:58,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,12:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,12:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,12:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,12:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
